"Freq [GHz]","ECC []"
1,0.400024591268998
1.1,0.389838662177803
1.2,0.346056083514695
1.3,0.290196315211882
1.4,0.242512094568306
1.5,0.207811888925249
1.6,0.179836524681067
1.7,0.153124889422361
1.8,0.127142850331828
1.9,0.104669226923044
2,0.0897796395179773
2.1,0.0854773808077375
2.2,0.0907633995479829
2.3,0.101487879015748
2.4,0.113891285016574
2.5,0.125832484714035
2.6,0.136329366647723
2.7,0.145008345518631
2.8,0.15178273513577
2.9,0.156691781538537
3,0.15982709867486
3.1,0.161305031432052
3.2,0.161261509719243
3.3,0.159855192602163
3.4,0.157265339653437
3.5,0.153658768042458
3.6,0.149131628338352
3.7,0.143728724783932
3.8,0.137526929798371
3.9,0.130641009273696
4,0.123187389165159
4.1,0.115282467480733
4.2,0.107102225672589
4.3,0.0990123930730305
4.4,0.0914632944467958
4.5,0.0842313872667068
4.6,0.0766485555096093
4.7,0.068596451136349
4.8,0.0602651576762943
4.9,0.0518054859788877
5,0.0432916954462103
5.1,0.0347538603900321
5.2,0.0262018824984526
5.3,0.0176407284725379
5.4,0.00909200774245775
5.5,0.00129786838233802
5.6,0.008249153701859
5.7,0.0167077784192129
5.8,0.0250611027277443
5.9,0.0331886456999092
6,0.0409658686073055
6.1,0.04825630622241
6.2,0.0549240780419952
6.3,0.0608535825926674
6.4,0.0659709650334535
6.5,0.0702595924864618
6.6,0.0737613053993265
6.7,0.0765600126558152
6.8,0.0787527151683747
6.9,0.080419159077338
7,0.0816003464944841
7.1,0.0822898086495042
7.2,0.0824354440467478
7.3,0.0819473352117925
7.4,0.0807078414455264
7.5,0.0785823118955774
7.6,0.0754304628823283
7.7,0.0711193774404082
7.8,0.0655393069966637
7.9,0.0586230654845479
8,0.0503686895862052
8.1,0.0411680619753698
8.2,0.0310578045210137
8.3,0.0202626959465449
8.4,0.0090972223317412
8.5,0.00379211057427899
8.6,0.0148001823247328
8.7,0.0262398812436489
8.8,0.0373174490484922
8.9,0.047766071374468
9,0.0573747333820734
9.1,0.0659734321327423
9.2,0.0734318768117442
9.3,0.0796558640564573
9.4,0.0845815338178867
9.5,0.0881696689643873
9.6,0.0904017281606563
9.7,0.0912783159644883
9.8,0.0908199538726444
9.9,0.0890694760095483
10,0.0860950849994606
10.1,0.0819929879967862
10.2,0.0768885352869942
10.3,0.0709348601013041
10.4,0.0643081006298712
10.5,0.0571982819151991
10.6,0.0497948577635658
10.7,0.0422662807893265
10.8,0.0347353700407461
10.9,0.0272584846860837
11,0.0198236160626241
11.1,0.0123810469042773
11.2,0.00495761928087657
11.3,0.00336295475850274
11.4,0.0108185023717742
11.5,0.0183996761514461
11.6,0.0258705372985642
11.7,0.0332582683550268
11.8,0.0406097111175132
11.9,0.0479281118518254
12,0.0551380149468508
12.1,0.0620612300315824
12.2,0.068418621432229
12.3,0.0738742743844313
12.4,0.0781186248134914
12.5,0.0809601662125349
12.6,0.0823833800489909
12.7,0.0825465852236608
12.8,0.0817263681570719
12.9,0.0802397776600871
13,0.0783768474631463
13.1,0.0763605155088029
13.2,0.0743340055494545
13.3,0.0723666626602533
13.4,0.0704682382173416
13.5,0.0686046088256836
13.6,0.0667113703080083
13.7,0.0647041579419537
13.8,0.062485793946037
13.9,0.0599508560910208
14,0.0569884098672909
14.1,0.053483492560196
14.2,0.0493207738181215
14.3,0.0443830246682181
14.4,0.0385625675135254
14.5,0.0317694007049059
14.6,0.0239530863973014
14.7,0.0151513845061624
14.8,0.00582851298996462
14.9,0.00657809070615018
15,0.0171694057145138
