"Freq [GHz]","cang_deg(S(1,1)) [deg]"
1,-84.8610756142414
1.1,-98.0871772490076
1.2,-110.604136366875
1.3,-122.10133540581
1.4,-131.088810008647
1.5,-133.291000644221
1.6,-119.513627158456
1.7,-91.0022449360276
1.8,-72.9488561265547
1.9,-61.3610804795916
2,-38.8143103140104
2.1,2.42783440387595
2.2,25.8615018226696
2.3,31.7430081378401
2.4,31.1492332461698
2.5,28.0163270498924
2.6,23.7630990021329
2.7,18.9866602899424
2.8,13.9683345315731
2.9,8.84978660110373
3,3.70405409086004
3.1,-1.4322807867392
3.2,-6.54306731571408
3.3,-11.6237694412153
3.4,-16.6759284100168
3.5,-21.7038829608682
3.6,-26.7149185456931
3.7,-31.7204641518037
3.8,-36.7331816920397
3.9,-41.7638903047997
4,-46.8240102474465
4.1,-51.9403009697264
4.2,-57.2060766011549
4.3,-62.8873415170017
4.4,-69.3673281783841
4.5,-76.6216988812682
4.6,-84.2681603504953
4.7,-92.2570602080503
4.8,-100.846238988336
4.9,-110.380374441154
5,-121.23721468813
5.1,-133.801948278137
5.2,-148.352545254401
5.3,-164.798689258451
5.4,-182.400727487496
5.5,-199.878308686918
5.6,-216.046603643338
5.7,-230.342493161576
5.8,-242.781222285497
5.9,-253.647092064227
6,-263.266671770383
6.1,-271.917609260407
6.2,-279.811995975112
6.3,-287.105880080528
6.4,-293.913360919751
6.5,-300.318266761326
6.6,-306.382286165681
6.7,-312.150372233526
6.8,-317.654474991726
6.9,-322.916182386811
7,-327.948355836303
7.1,-332.755689811131
7.2,-337.33423916651
7.3,-341.670113691739
7.4,-345.737627871943
7.5,-349.49725592558
7.6,-352.893863803964
7.7,-355.855925645806
7.8,-358.296764080884
7.9,-360.119125900451
8,-361.224228441359
8.1,-361.613745890813
8.2,-361.25341673199
8.3,-360.009946214441
8.4,-357.776309786587
8.5,-354.523414362741
8.6,-350.360013029894
8.7,-345.565973648321
8.8,-340.554942067375
8.9,-335.763043208645
9,-331.527256903854
9.1,-328.02688260259
9.2,-325.300434532382
9.3,-323.298793379536
9.4,-321.935734826565
9.5,-321.120435784783
9.6,-320.773053286291
9.7,-320.8294259477
9.8,-321.240231361919
9.9,-321.968011554361
10,-322.983940707647
10.1,-324.265239752506
10.2,-325.793551787426
10.3,-327.554180642061
10.4,-329.535716236168
10.5,-331.729133679259
10.6,-334.124993039724
10.7,-336.707290328921
10.8,-339.443923574122
10.9,-342.277898429471
11,-345.128503806099
11.1,-347.909498987011
11.2,-350.555865928314
11.3,-353.036441146697
11.4,-355.33944554267
11.5,-357.442650312104
11.6,-359.284833169542
11.7,-360.741290277262
11.8,-361.604552373748
11.9,-361.578038414598
12,-360.30476177652
12.1,-357.477776945733
12.2,-353.074964655194
12.3,-347.624295513943
12.4,-342.164454515489
12.5,-337.730875645714
12.6,-334.851619155659
12.7,-333.519711468305
12.8,-333.455060044393
12.9,-334.327512405276
13,-335.856271351588
13.1,-337.831104964424
13.2,-340.102967324357
13.3,-342.567857354982
13.4,-345.152447720263
13.5,-347.803434014203
13.6,-350.480322734735
13.7,-353.150856163693
13.8,-355.788310764591
13.9,-358.370071648851
14,-360.877041799324
14.1,-363.293575195749
14.2,-365.607515940941
14.3,-367.810712414182
14.4,-369.898673656084
14.5,-371.870414630005
14.6,-373.72736753135
14.7,-375.471485994151
14.8,-377.102433946394
14.9,-378.6142369585
15,-379.987459290094
