"Freq [GHz]","cang_rad(S(1,1)) [rad]"
1,-1.48110517625238
1.1,-1.71194419698246
1.2,-1.93040634592676
1.3,-2.13107032391331
1.4,-2.28793134717219
1.5,-2.32636682451953
1.6,-2.08590629491598
1.7,-1.58828880084002
1.8,-1.27319772497202
1.9,-1.0709528869501
2,-0.677437511870276
2.1,0.042373704040829
2.2,0.451368356316099
2.3,0.554020006492664
2.4,0.543656679617344
2.5,0.488977151336172
2.6,0.414744318064599
2.7,0.331379736017155
2.8,0.24379342859597
2.9,0.154457914288138
3,0.0646479395574728
3.1,-0.0249980155416538
3.2,-0.114198067838838
3.3,-0.202873048241909
3.4,-0.291049856581657
3.5,-0.378804218134646
3.6,-0.466263288024441
3.7,-0.553626539709805
3.8,-0.641114965259395
3.9,-0.728917394260494
4,-0.817233147805505
4.1,-0.906529266398528
4.2,-0.99843438883824
4.3,-1.09759116729781
4.4,-1.21068827002424
4.5,-1.33730092394979
4.6,-1.47075685271468
4.7,-1.61018945884112
4.8,-1.76009890859954
4.9,-1.92650096358233
5,-2.11598857225509
5.1,-2.33528454303665
5.2,-2.58924036840319
5.3,-2.87627973053098
5.4,-3.18349325268972
5.5,-3.48853458990431
5.6,-3.77072457132743
5.7,-4.02023491292202
5.8,-4.23733169089816
5.9,-4.42697689462995
6,-4.59487023316039
6.1,-4.74585757574552
6.2,-4.88364061634282
6.3,-5.01094290924122
6.4,-5.12975586365209
6.5,-5.24154255886779
6.6,-5.3473796633786
6.7,-5.44805175680091
6.8,-5.5441164722996
6.9,-5.63595059062037
7,-5.72377858584544
7.1,-5.80768239194918
7.2,-5.88759315316561
7.3,-5.9632684395842
7.4,-6.03425995440032
7.5,-6.09987784258663
7.6,-6.15915983346361
7.7,-6.21085756525144
7.8,-6.25345823245278
7.9,-6.28526444636686
8,-6.30455212427785
8.1,-6.3113504862648
8.2,-6.30506155605239
8.3,-6.2833589013697
8.4,-6.24437459141116
8.5,-6.18760085604199
8.6,-6.11493579470188
8.7,-6.03126402302316
8.8,-5.94380502301424
8.9,-5.86017061050685
9,-5.78624219307736
9.1,-5.7251491364681
9.2,-5.67756364075833
9.3,-5.64262841219775
9.4,-5.61883855255093
9.5,-5.60460889988348
9.6,-5.598545931521
9.7,-5.5995298200707
9.8,-5.60669972713383
9.9,-5.61940188772274
10,-5.63713319641459
10.1,-5.65949608345003
10.2,-5.68617016045724
10.3,-5.71689893087625
10.4,-5.75148325123887
10.5,-5.78976560749148
10.6,-5.83158124174632
10.7,-5.87665083170814
10.8,-5.92441409225643
10.9,-5.973876284401
11,-6.0236287338982
11.1,-6.07216625628721
11.2,-6.11835407262888
11.3,-6.16164827753304
11.4,-6.20184328693069
11.5,-6.23855113500096
11.6,-6.27070329128705
11.7,-6.29612326323083
11.8,-6.31119002912218
11.9,-6.31072727323727
12,-6.28850440361409
12.1,-6.23916421041292
12.2,-6.16232063959574
12.3,-6.06718851664407
12.4,-5.97189631458566
12.5,-5.89451576566124
12.6,-5.84426325990036
12.7,-5.82101708542342
12.8,-5.81988870521005
12.9,-5.83511587147425
13,-5.86179774855672
13.1,-5.89626509727975
13.2,-5.93591657561272
13.3,-5.97893702234672
13.4,-6.02404663403619
13.5,-6.07031507329068
13.6,-6.11703559517346
13.7,-6.16364519629335
13.8,-6.20967746295089
13.9,-6.25473769088043
14,-6.2984925742554
14.1,-6.34066903850743
14.2,-6.38105492320707
14.3,-6.41950795573345
14.4,-6.45594975405868
14.5,-6.49036312605008
14.6,-6.52277306823302
14.7,-6.55321367795372
14.8,-6.581679089649
14.9,-6.60806502985183
15,-6.63203228090005
