"Freq [GHz]","ang_rad(S(1,1)) [rad]"
1,-1.48110517625238
1.1,-1.71194419698246
1.2,-1.93040634592676
1.3,-2.13107032391331
1.4,-2.28793134717219
1.5,-2.32636682451953
1.6,-2.08590629491598
1.7,-1.58828880084002
1.8,-1.27319772497202
1.9,-1.0709528869501
2,-0.677437511870275
2.1,0.0423737040408289
2.2,0.451368356316099
2.3,0.554020006492664
2.4,0.543656679617344
2.5,0.488977151336172
2.6,0.414744318064599
2.7,0.331379736017156
2.8,0.24379342859597
2.9,0.154457914288139
3,0.064647939557473
3.1,-0.0249980155416537
3.2,-0.114198067838838
3.3,-0.202873048241909
3.4,-0.291049856581656
3.5,-0.378804218134646
3.6,-0.46626328802444
3.7,-0.553626539709805
3.8,-0.641114965259396
3.9,-0.728917394260494
4,-0.817233147805505
4.1,-0.906529266398528
4.2,-0.998434388838239
4.3,-1.09759116729781
4.4,-1.21068827002424
4.5,-1.33730092394979
4.6,-1.47075685271468
4.7,-1.61018945884112
4.8,-1.76009890859954
4.9,-1.92650096358233
5,-2.11598857225509
5.1,-2.33528454303665
5.2,-2.58924036840319
5.3,-2.87627973053098
5.4,3.09969205448987
5.5,2.79465071727528
5.6,2.51246073585216
5.7,2.26295039425757
5.8,2.04585361628142
5.9,1.85620841254964
6,1.68831507401919
6.1,1.53732773143407
6.2,1.39954469083676
6.3,1.27224239793837
6.4,1.1534294435275
6.5,1.04164274831179
6.6,0.935805643800987
6.7,0.835133550378675
6.8,0.739068834879985
6.9,0.647234716559214
7,0.559406721334146
7.1,0.475502915230409
7.2,0.39559215401398
7.3,0.319916867595387
7.4,0.248925352779266
7.5,0.183307464592951
7.6,0.124025473715972
7.7,0.0723277419281451
7.8,0.0297270747268068
7.9,-0.00207913918727724
8,-0.0213668170982684
8.1,-0.0281651790852104
8.2,-0.0218762488728081
8.3,-0.000173594190111578
8.4,0.0388107157684283
8.5,0.0955844511376007
8.6,0.168249512477704
8.7,0.251921284156429
8.8,0.339380284165351
8.9,0.423014696672739
9,0.496943114102225
9.1,0.558036170711483
9.2,0.605621666421257
9.3,0.640556894981839
9.4,0.664346754628654
9.5,0.678576407296103
9.6,0.684639375658591
9.7,0.683655487108886
9.8,0.67648558004575
9.9,0.663783419456842
10,0.646052110764995
10.1,0.623689223729557
10.2,0.597015146722345
10.3,0.56628637630334
10.4,0.531702055940719
10.5,0.493419699688105
10.6,0.451604065433265
10.7,0.406534475471449
10.8,0.358771214923157
10.9,0.309309022778591
11,0.259556573281385
11.1,0.211019050892373
11.2,0.164831234550704
11.3,0.121537029646542
11.4,0.0813420202488989
11.5,0.0446341721786268
11.6,0.0124820158925413
11.7,-0.0129379560512446
11.8,-0.0280047219425901
11.9,-0.0275419660576832
12,-0.00531909643450562
12.1,0.0440210967666654
12.2,0.120864667583849
12.3,0.215996790535522
12.4,0.311288992593924
12.5,0.388669541518343
12.6,0.43892204727923
12.7,0.462168221756167
12.8,0.46329660196954
12.9,0.448069435705333
13,0.42138755862287
13.1,0.386920209899836
13.2,0.347268731566866
13.3,0.304248284832869
13.4,0.259138673143394
13.5,0.212870233888903
13.6,0.166149712006127
13.7,0.119540110886234
13.8,0.0735078442286981
13.9,0.0284476162991613
14,-0.0153072670758172
14.1,-0.0574837313278441
14.2,-0.097869616027482
14.3,-0.136322648553867
14.4,-0.17276444687909
14.5,-0.207177818870496
14.6,-0.239587761053429
14.7,-0.27002837077413
14.8,-0.298493782469417
14.9,-0.324879722672243
15,-0.348846973720463
