"Freq [GHz]","im(S(1,1)) []"
1,-0.756692518932714
1.1,-0.622406110206027
1.2,-0.462434680084619
1.3,-0.307127936089131
1.4,-0.181915434954059
1.5,-0.103375965987541
1.6,-0.0687946781679739
1.7,-0.0589110728655808
1.8,-0.0535217080550813
1.9,-0.0419179242373448
2,-0.0225233367116789
2.1,0.00159647911626164
2.2,0.0262317073432916
2.3,0.0477338383039241
2.4,0.0635874608753653
2.5,0.072434571197528
2.6,0.0738764620431159
2.7,0.0682159353630349
2.8,0.0562155736493641
2.9,0.0389012567790552
3,0.0174164587950436
3.1,-0.00707765875464716
3.2,-0.0334647352883698
3.3,-0.0607065649264302
3.4,-0.0878555924349241
3.5,-0.11406078653816
3.6,-0.138582983679876
3.7,-0.16079806332799
3.8,-0.180162144312658
3.9,-0.196177529093127
4,-0.208373366845858
4.1,-0.21629001272231
4.2,-0.21953619741844
4.3,-0.218168530538767
4.4,-0.213283613081127
4.5,-0.205981367346316
4.6,-0.195724931745816
4.7,-0.181663636664386
4.8,-0.163666146115126
4.9,-0.142023267955069
5,-0.117157753222452
5.1,-0.0895392504014026
5.2,-0.0596783081404192
5.3,-0.0281408252357609
5.4,0.00443487158934575
5.5,0.0373264411124612
5.6,0.0697284095961118
5.7,0.100771394083474
5.8,0.129562032576956
5.9,0.155240258735731
6,0.177044450390729
6.1,0.194371125694469
6.2,0.206816437789541
6.3,0.214192222363911
6.4,0.216517862759064
6.5,0.213996647655675
6.6,0.206987285446341
6.7,0.195976952061601
6.8,0.18155614532319
6.9,0.164393338402162
7,0.145209518141753
7.1,0.124754934584591
7.2,0.103789712591554
7.3,0.0830672399445589
7.4,0.0633168461201541
7.5,0.0452216252057313
7.6,0.0293885268699949
7.7,0.0163107775560253
7.8,0.00632690292044337
7.9,-0.000414692248048881
8,-0.00397309163538591
8.1,-0.00488319758594331
8.2,-0.00352725703728233
8.3,-2.60208217160163E-005
8.4,0.00542499892141507
8.5,0.0125549827689539
8.6,0.0210333344352267
8.7,0.0304976029898115
8.8,0.0405863558063481
8.9,0.0509687917718626
9,0.0613650843120234
9.1,0.0715550179413728
9.2,0.0813756764288006
9.3,0.0907109044271558
9.4,0.0994760175504641
9.5,0.107601140930903
9.6,0.115015977320266
9.7,0.121638013373138
9.8,0.127365322933417
9.9,0.13207426844883
10,0.135621539166045
10.1,0.137849153545223
10.2,0.138590500095483
10.3,0.137675622137154
10.4,0.134935443236078
10.5,0.130208301615511
10.6,0.123358277169493
10.7,0.114320595241894
10.8,0.103184405456613
10.9,0.0902900698531535
11,0.0762611697884756
11.1,0.0618844745943427
11.2,0.0478759374960433
11.3,0.034718266219028
11.4,0.0227000842807998
11.5,0.0120827928031207
11.6,0.00325158655511582
11.7,-0.00321429026407614
11.8,-0.00657359322526571
11.9,-0.00605884437403971
12,-0.00109218170586878
12.1,0.00847200516912786
12.2,0.0221644673734926
12.3,0.0388705083344217
12.4,0.0569927346596444
12.5,0.074759589215977
12.6,0.0905619783862731
12.7,0.103196939470204
12.8,0.111958486470219
12.9,0.116593863468087
13,0.117188703553598
13.1,0.114043483442687
13.2,0.10757666334715
13.3,0.0982628046523064
13.4,0.0865987048727716
13.5,0.0730863319068892
13.6,0.0582229699717937
13.7,0.0424924553077101
13.8,0.026354697779243
13.9,0.0102331986404317
14,-0.00549812131664714
14.1,-0.0205267949576484
14.2,-0.0346092544649845
14.3,-0.0475755376561291
14.4,-0.0593235306933471
14.5,-0.0698098738390324
14.6,-0.079032795275707
14.7,-0.0870104443415332
14.8,-0.0937577099956224
14.9,-0.0992675303035284
15,-0.103469082992791
