"Freq [GHz]","arg(S(1,2)) [deg]"
1,46.3927393088538
1.1,37.8055746112652
1.2,24.4901825642123
1.3,8.95436356431971
1.4,-7.10859023074124
1.5,-22.7023633335974
1.6,-37.380681416168
1.7,-51.060220957269
1.8,-63.7933958129643
1.9,-75.6272677417833
2,-86.5881384290031
2.1,-96.7111411664459
2.2,-106.05557155977
2.3,-114.701503282557
2.4,-122.739493960469
2.5,-130.26095216067
2.6,-137.351467320312
2.7,-144.086977770938
2.8,-150.531997598458
2.9,-156.7391619774
3,-162.749590525177
3.1,-168.593880701242
3.2,-174.294085764492
3.3,-179.868232347359
3.4,174.660257897325
3.5,169.254185195972
3.6,163.878829155615
3.7,158.53114244575
3.8,153.225305196212
3.9,147.960590758948
4,142.711449414866
4.1,137.423066973724
4.2,132.005582978041
4.3,126.382212172829
4.4,120.699686079313
4.5,115.371136451784
4.6,110.494555149902
4.7,105.811975183332
4.8,101.140058556808
4.9,96.423376165662
5,91.6557324522265
5.1,86.8411514386121
5.2,81.9828815360346
5.3,77.0814575275606
5.4,72.1350124973442
5.5,67.1399871270198
5.6,62.0918293812459
5.7,56.9856912030457
5.8,51.8172997107682
5.9,46.5842966814497
6,41.2883756692067
6.1,35.9383733460614
6.2,30.5539475488678
6.3,25.1686059533846
6.4,19.8300192400396
6.5,14.5955669392392
6.6,9.52263726364578
6.7,4.65596441871136
6.8,0.0164350316973622
6.9,-4.40452995826132
7,-8.64364282555577
7.1,-12.7591787635657
7.2,-16.8223468656398
7.3,-20.9093117040163
7.4,-25.0951617852462
7.5,-29.4498386351556
7.6,-34.0353674709792
7.7,-38.9036248342065
7.8,-44.0941004734994
7.9,-49.6314450659452
8,-55.5229202336535
8.1,-61.6425000103505
8.2,-67.9298864412983
8.3,-74.3551979113658
8.4,-80.8907250293905
8.5,-87.5108291216819
8.6,-94.1916731119302
8.7,-100.911287220693
8.8,-107.650119241566
8.9,-114.391904342595
9,-121.12446500142
9.1,-127.840041242355
9.2,-134.534960575119
9.3,-141.208730810279
9.4,-147.86280811321
9.5,-154.499308748323
9.6,-161.119855830608
9.7,-167.724661077366
9.8,-174.311878069335
9.9,179.122767982736
10,172.58608109461
10.1,166.087238412124
10.2,159.637393764481
10.3,153.249058582738
10.4,146.935267716835
10.5,140.708504388884
10.6,134.579294580089
10.7,128.554307861581
10.8,122.633815283929
10.9,116.808613796026
11,111.056978316407
11.1,105.342510239708
11.2,99.615849460471
11.3,93.832087591315
11.4,87.9855833689701
11.5,82.0971249685726
11.6,76.1481257445473
11.7,70.0774603438514
11.8,63.8193354844279
11.9,57.3227563421951
12,50.5593643841852
12.1,43.5309461849449
12.2,36.2761559048122
12.3,28.872128359365
12.4,21.427662891932
12.5,14.0680473189946
12.6,6.91542826832594
12.7,0.0706788277854121
12.8,-6.39825443826106
12.9,-12.4597007113469
13,-18.1147091120442
13.1,-23.3896402979757
13.2,-28.3278621010417
13.3,-32.9824672555397
13.4,-37.4108080462954
13.5,-41.6708689375932
13.6,-45.8191258472434
13.7,-49.9094508146676
13.8,-53.9926758713611
13.9,-58.116531601705
14,-62.3257690242331
14.1,-66.6623279229497
14.2,-71.1655130521242
14.3,-75.8718157291506
14.4,-80.814719341558
14.5,-86.0237630904359
14.6,-91.523063393759
14.7,-97.3289949322334
14.8,-103.447042874057
14.9,-109.868051729415
15,-116.573297289809
