"Freq [GHz]","dB(S(1,2)) []"
1,-15.6947661884956
1.1,-12.6454737297592
1.2,-10.2490119035687
1.3,-8.53824954645598
1.4,-7.42417955768362
1.5,-6.77580902514093
1.6,-6.46326657198431
1.7,-6.38646022766765
1.8,-6.48179287925312
1.9,-6.7082091825785
2,-7.03254687287851
2.1,-7.42450062733733
2.2,-7.85733578482247
2.3,-8.30928158654851
2.4,-8.76393042051368
2.5,-9.20978410146122
2.6,-9.63940604472416
2.7,-10.0484958791192
2.8,-10.4350384077542
2.9,-10.7985763485549
3,-11.1395993400881
3.1,-11.4590004363904
3.2,-11.7575210380569
3.3,-12.0351885238833
3.4,-12.291316413207
3.5,-12.5265537537972
3.6,-12.7458248142683
3.7,-12.9557647645374
3.8,-13.1596121142447
3.9,-13.3579062202704
4,-13.5509814647291
4.1,-13.7385176022815
4.2,-13.9142485226618
4.3,-14.05410210195
4.4,-14.1188443047827
4.5,-14.1154387786686
4.6,-14.1075670199537
4.7,-14.1252390400265
4.8,-14.1603244871881
4.9,-14.2004678084241
5,-14.2383424380976
5.1,-14.2704678729136
5.2,-14.2954333581076
5.3,-14.3129121341448
5.4,-14.3232067380012
5.5,-14.3270610789713
5.6,-14.3256052466854
5.7,-14.3203766129117
5.8,-14.3133929326037
5.9,-14.3072518760109
6,-14.3052011822787
6.1,-14.3110734114251
6.2,-14.328937480241
6.3,-14.3623403411004
6.4,-14.4131548951447
6.5,-14.4803109289374
6.6,-14.5589284679413
6.7,-14.6403703828168
6.8,-14.7133753030391
6.9,-14.765917178599
7,-14.787131750071
7.1,-14.7687415378376
7.2,-14.705758935439
7.3,-14.5965760866343
7.4,-14.4426998621801
7.5,-14.2483703879665
7.6,-14.0202013089477
7.7,-13.7668769607606
7.8,-13.4988720582164
7.9,-13.228128048932
8,-12.9676182843359
8.1,-12.7184603225997
8.2,-12.4939868248367
8.3,-12.29509744843
8.4,-12.1219031631828
8.5,-11.9739626201398
8.6,-11.8503775800246
8.7,-11.7498087716938
8.8,-11.6704849894627
8.9,-11.6102686800014
9,-11.5668060110266
9.1,-11.5377407084732
9.2,-11.5209372838839
9.3,-11.5146584161416
9.4,-11.5176652179149
9.5,-11.5292369464143
9.6,-11.5491240828725
9.7,-11.5774538818078
9.8,-11.6146055916435
9.9,-11.6610688020223
10,-11.7172954318991
10.1,-11.7835541254373
10.2,-11.8597945872789
10.3,-11.945527943042
10.4,-12.0397275765056
10.5,-12.140754660382
10.6,-12.2463179984483
10.7,-12.3534957142833
10.8,-12.4588779935902
10.9,-12.5588999534063
11,-12.650305435393
11.1,-12.7302717606882
11.2,-12.7952431104416
11.3,-12.8387225158856
11.4,-12.8534531904473
11.5,-12.8399382706883
11.6,-12.8061976643327
11.7,-12.760058663456
11.8,-12.7081675415057
11.9,-12.6586215421335
12,-12.6222954739577
12.1,-12.6124355205176
12.2,-12.6429749561648
12.3,-12.7260347915152
12.4,-12.869296981434
12.5,-13.0741054602092
12.6,-13.334961106414
12.7,-13.6405393834477
12.8,-13.975771870095
12.9,-14.3242329894573
13,-14.6701678438171
13.1,-14.9998255779646
13.2,-15.3020871393395
13.3,-15.5685620612896
13.4,-15.7933728120612
13.5,-15.9728066408306
13.6,-16.1049512496919
13.7,-16.1893744919623
13.8,-16.2268704652693
13.9,-16.2192740276506
14,-16.1693376277035
14.1,-16.0806477713062
14.2,-15.9577374882508
14.3,-15.8058161650461
14.4,-15.6312115098961
14.5,-15.4412594457966
14.6,-15.2444708018794
14.7,-15.0505901278446
14.8,-14.8705388049412
14.9,-14.7161625980225
15,-14.596612211497
