"Freq [GHz]","re(S(1,2)) []"
1,0.113221534507808
1.1,0.184249294404001
1.2,0.279644459004733
1.3,0.369625646009708
1.4,0.422123836066275
1.5,0.42285002545582
1.6,0.377568554009459
1.7,0.301289846786128
1.8,0.209386433458211
1.9,0.114667905952536
2,0.026484070091412
2.1,-0.0497113072992496
2.2,-0.111927702650126
2.3,-0.160545761911389
2.4,-0.197177074937515
2.5,-0.223833300029927
2.6,-0.24245225859283
2.7,-0.25468952394957
2.8,-0.261867732234824
2.9,-0.265004171516015
3,-0.264869230997905
3.1,-0.262051623845922
3.2,-0.257019933145744
3.3,-0.250172417501356
3.4,-0.241849619457596
3.5,-0.232267778798753
3.6,-0.22145525022684
3.7,-0.209402843417246
3.8,-0.196230365954722
3.9,-0.182111918927842
4,-0.167163991074452
4.1,-0.151415359484842
4.2,-0.134848296223191
4.3,-0.117617873097275
4.4,-0.100481482368294
4.5,-0.0843642845431369
4.6,-0.0689980065343532
4.7,-0.0535888986488463
4.8,-0.0378450311179349
4.9,-0.0218125890576429
5,-0.00560905836309886
5.1,0.0106576817107945
5.2,0.0268971271862922
5.3,0.0430288066876398
5.4,0.0589738809160328
5.5,0.0746477423158863
5.6,0.0899533629626729
5.7,0.10477481440482
5.8,0.118970433074118
5.9,0.13236564974879
6,0.144747138795563
6.1,0.155862979617337
6.2,0.165436900766454
6.3,0.173205012703144
6.4,0.178976025562648
6.5,0.182699795606271
6.6,0.184513234007693
6.7,0.184733631874938
6.8,0.183793952325797
6.9,0.182145998279364
7,0.18017003091233
7.1,0.178116537122187
7.2,0.176083142622156
7.3,0.174014797166812
7.4,0.171713181372533
7.5,0.168846923917792
7.6,0.16496173089404
7.7,0.159495812870417
7.8,0.151810062092074
7.9,0.14124358726983
8,0.127202082707969
8.1,0.109835975963233
8.2,0.089163919703991
8.3,0.0654760387085968
8.4,0.0392134343853727
8.5,0.0109420154770447
8.6,-0.0186792065124747
8.7,-0.0489366992374697
8.8,-0.0791061170287744
8.9,-0.108495347813615
9,-0.136478836130989
9.1,-0.162516919321157
9.2,-0.186159170060644
9.3,-0.20703611653105
9.4,-0.22484627151701
9.5,-0.239344747967332
9.6,-0.250337330952974
9.7,-0.25768126422163
9.8,-0.261291951611352
9.9,-0.261153382668484
10,-0.257329275387652
10.1,-0.249971644442264
10.2,-0.239323776609663
10.3,-0.225715417348503
10.4,-0.209549191450906
10.5,-0.191278568585471
10.6,-0.171378635186176
10.7,-0.150311354665578
10.8,-0.128487437288056
10.9,-0.106228937050438
11,-0.0837408428820566
11.1,-0.0611023031502873
11.2,-0.038287957945558
11.3,-0.0152423817479426
11.4,0.00800321586291198
11.5,0.0313536147542723
11.6,0.0548071379084363
11.7,0.0784209679364726
11.8,0.102148057203665
11.9,0.125715005555055
12,0.148542015573096
12.1,0.169714017310068
12.2,0.188053038096171
12.3,0.202326780354335
12.4,0.211557602502526
12.5,0.215312834991651
12.6,0.213836030782355
12.7,0.207956596215437
12.8,0.19883730269292
12.9,0.187688416628134
13,0.175555507848863
13.1,0.163218459921598
13.2,0.151181988107341
13.3,0.139717103595148
13.4,0.128918706752036
13.5,0.118758990432357
13.6,0.109128692133784
13.7,0.0998654865725776
13.8,0.0907719286079385
13.9,0.0816261352469005
14,0.0721882108493721
14.1,0.0622051728460693
14.2,0.0514155307757365
14.3,0.0395605993739741
14.4,0.0263965622858592
14.5,0.0117202800141759
14.6,-0.00459537184442104
14.7,-0.0225531545138203
14.8,-0.0419742471651385
14.9,-0.0624432899973237
15,-0.0833315334456887
