"Freq [GHz]","ang_deg(S(2,1)) [deg]"
1,46.3927393089796
1.1,37.805574611732
1.2,24.4901825643849
1.3,8.95436356423907
1.4,-7.10859023084163
1.5,-22.7023633336101
1.6,-37.3806814161163
1.7,-51.0602209572111
1.8,-63.7933958129345
1.9,-75.6272677417839
2,-86.5881384290195
2.1,-96.7111411664616
2.2,-106.055571559775
2.3,-114.701503282549
2.4,-122.739493960451
2.5,-130.260952160649
2.6,-137.351467320292
2.7,-144.086977770923
2.8,-150.531997598449
2.9,-156.739161977395
3,-162.749590525174
3.1,-168.59388070124
3.2,-174.294085764493
3.3,-179.868232347363
3.4,174.660257897325
3.5,169.254185195985
3.6,163.878829155628
3.7,158.531142445739
3.8,153.225305196174
3.9,147.960590758893
4,142.711449414801
4.1,137.423066973649
4.2,132.005582977953
4.3,126.382212172745
4.4,120.69968607927
4.5,115.37113645178
4.6,110.494555149909
4.7,105.811975183343
4.8,101.140058556822
4.9,96.4233761656784
5,91.6557324522426
5.1,86.8411514386259
5.2,81.9828815360446
5.3,77.0814575275662
5.4,72.1350124973454
5.5,67.1399871270175
5.6,62.0918293812413
5.7,56.9856912030401
5.8,51.8172997107631
5.9,46.584296681446
6,41.288375669205
6.1,35.9383733460611
6.2,30.553947548868
6.3,25.1686059533839
6.4,19.8300192400366
6.5,14.5955669392335
6.6,9.52263726363783
6.7,4.65596441870255
6.8,0.016435031689252
6.9,-4.40452995826733
7,-8.64364282555895
7.1,-12.7591787635664
7.2,-16.8223468656387
7.3,-20.9093117040146
7.4,-25.0951617852447
7.5,-29.449838635155
7.6,-34.0353674709795
7.7,-38.9036248342074
7.8,-44.0941004735003
7.9,-49.6314450659457
8,-55.5229202336534
8.1,-61.6425000103504
8.2,-67.9298864412983
8.3,-74.3551979113658
8.4,-80.8907250293904
8.5,-87.5108291216819
8.6,-94.1916731119302
8.7,-100.911287220693
8.8,-107.650119241566
8.9,-114.391904342595
9,-121.124465001421
9.1,-127.840041242355
9.2,-134.534960575119
9.3,-141.20873081028
9.4,-147.86280811321
9.5,-154.499308748323
9.6,-161.119855830608
9.7,-167.724661077366
9.8,-174.311878069335
9.9,179.122767982736
10,172.58608109461
10.1,166.087238412125
10.2,159.637393764482
10.3,153.24905858274
10.4,146.935267716837
10.5,140.708504388886
10.6,134.579294580091
10.7,128.554307861583
10.8,122.63381528393
10.9,116.808613796026
11,111.056978316406
11.1,105.342510239706
11.2,99.6158494604687
11.3,93.8320875913147
11.4,87.9855833689717
11.5,82.0971249685732
11.6,76.148125744546
11.7,70.077460343849
11.8,63.8193354844254
11.9,57.3227563421933
12,50.5593643841844
12.1,43.5309461849455
12.2,36.2761559048141
12.3,28.8721283593681
12.4,21.4276628919359
12.5,14.068047318999
12.6,6.91542826833038
12.7,0.0706788277895127
12.8,-6.39825443825753
12.9,-12.459700711344
13,-18.114709112042
13.1,-23.3896402979739
13.2,-28.3278621010404
13.3,-32.9824672555385
13.4,-37.4108080462944
13.5,-41.6708689375921
13.6,-45.8191258472424
13.7,-49.9094508146665
13.8,-53.9926758713601
13.9,-58.1165316017041
14,-62.3257690242324
14.1,-66.6623279229494
14.2,-71.1655130521244
14.3,-75.8718157291514
14.4,-80.8147193415594
14.5,-86.0237630904377
14.6,-91.5230633937612
14.7,-97.3289949322356
14.8,-103.447042874059
14.9,-109.868051729415
15,-116.573297289807
