"Freq [GHz]","dBc(S(2,1)) []"
1,-15.6947661880063
1.1,-12.6454737308802
1.2,-10.2490119047582
1.3,-8.53824954690068
1.4,-7.42417955736278
1.5,-6.77580902438116
1.6,-6.46326657103073
1.7,-6.38646022662275
1.8,-6.48179287819395
1.9,-6.70820918158426
2,-7.03254687200008
2.1,-7.42450062659037
2.2,-7.85733578420179
2.3,-8.3092815860421
2.4,-8.76393042010947
2.5,-9.20978410114863
2.6,-9.63940604449341
2.7,-10.0484958789605
2.8,-10.4350384076572
2.9,-10.7985763485093
3,-11.1395993400842
3.1,-11.4590004364205
3.2,-11.7575210381157
3.3,-12.0351885239648
3.4,-12.2913164132983
3.5,-12.5265537538831
3.6,-12.7458248143524
3.7,-12.9557647646333
3.8,-13.1596121143485
3.9,-13.3579062203623
4,-13.5509814647795
4.1,-13.7385176022456
4.2,-13.9142485224737
4.3,-14.0541021015744
4.4,-14.1188443043664
4.5,-14.1154387784325
4.6,-14.1075670198829
4.7,-14.1252390400185
4.8,-14.1603244871926
4.9,-14.2004678084273
5,-14.2383424380979
5.1,-14.270467872912
5.2,-14.2954333581055
5.3,-14.3129121341431
5.4,-14.3232067380005
5.5,-14.3270610789717
5.6,-14.3256052466866
5.7,-14.3203766129133
5.8,-14.313392932605
5.9,-14.3072518760114
6,-14.3052011822782
6.1,-14.3110734114239
6.2,-14.3289374802402
6.3,-14.362340341101
6.4,-14.4131548951475
6.5,-14.4803109289427
6.6,-14.5589284679484
6.7,-14.6403703828245
6.8,-14.7133753030459
6.9,-14.7659171786038
7,-14.7871317500735
7.1,-14.7687415378381
7.2,-14.7057589354382
7.3,-14.5965760866332
7.4,-14.4426998621793
7.5,-14.2483703879662
7.6,-14.0202013089477
7.7,-13.7668769607606
7.8,-13.498872058216
7.9,-13.2281280489313
8,-12.9676182843359
8.1,-12.7184603225991
8.2,-12.493986824836
8.3,-12.2950974484295
8.4,-12.1219031631827
8.5,-11.9739626201398
8.6,-11.8503775800247
8.7,-11.7498087716938
8.8,-11.6704849894626
8.9,-11.6102686800014
9,-11.5668060110268
9.1,-11.5377407084736
9.2,-11.5209372838844
9.3,-11.5146584161422
9.4,-11.5176652179154
9.5,-11.5292369464147
9.6,-11.5491240828727
9.7,-11.5774538818077
9.8,-11.6146055916431
9.9,-11.6610688020216
10,-11.7172954318981
10.1,-11.7835541254361
10.2,-11.8597945872775
10.3,-11.9455279430406
10.4,-12.0397275765043
10.5,-12.1407546603811
10.6,-12.246317998448
10.7,-12.3534957142841
10.8,-12.4588779935925
10.9,-12.5588999534103
11,-12.6503054353979
11.1,-12.7302717606914
11.2,-12.7952431104394
11.3,-12.8387225158778
11.4,-12.8534531904415
11.5,-12.8399382706895
11.6,-12.8061976643383
11.7,-12.7600586634626
11.8,-12.7081675415117
11.9,-12.6586215421385
12,-12.6222954739619
12.1,-12.6124355205214
12.2,-12.6429749561692
12.3,-12.7260347915215
12.4,-12.8692969814435
12.5,-13.0741054602232
12.6,-13.3349611064335
12.7,-13.6405393834729
12.8,-13.9757718701259
12.9,-14.3242329894933
13,-14.6701678438573
13.1,-14.9998255780079
13.2,-15.3020871393845
13.3,-15.5685620613352
13.4,-15.7933728121061
13.5,-15.9728066408738
13.6,-16.1049512497326
13.7,-16.1893744919998
13.8,-16.226870465303
13.9,-16.2192740276803
14,-16.169337627729
14.1,-16.0806477713274
14.2,-15.9577374882689
14.3,-15.8058161650604
14.4,-15.6312115099067
14.5,-15.4412594458033
14.6,-15.244470801882
14.7,-15.0505901278419
14.8,-14.8705388049317
14.9,-14.7161625980025
15,-14.5966122114717
