"Freq [GHz]","dB20normalize(S(2,2)) []"
1,0
1.1,-0.424188096762742
1.2,-0.859227560232074
1.3,-1.41274031851988
1.4,-2.18774802536221
1.5,-3.23751893153076
1.6,-4.56763658353891
1.7,-6.1501110197711
1.8,-7.91570199570532
1.9,-9.71617396106406
2,-11.2730363026348
2.1,-12.2216351286235
2.2,-12.3852770360368
2.3,-11.962702792325
2.4,-11.2878428449505
2.5,-10.5841810214996
2.6,-9.94949147408597
2.7,-9.41363350594739
2.8,-8.97871023532584
2.9,-8.63764930705917
3,-8.38145597406939
3.1,-8.20158307688729
3.2,-8.09050935513429
3.3,-8.04189167625907
3.4,-8.05066582926155
3.5,-8.11294398168312
3.6,-8.22574006638418
3.7,-8.3870664122306
3.8,-8.59609613931351
3.9,-8.85261617066594
4,-9.15596766423406
4.1,-9.50342618345363
4.2,-9.88804588345237
4.3,-10.3019808173823
4.4,-10.7654739589198
4.5,-11.3410447322291
4.6,-12.042003174931
4.7,-12.8319583527449
4.8,-13.6874838561274
4.9,-14.5919089607279
5,-15.513795495095
5.1,-16.3889060125875
5.2,-17.1074321813557
5.3,-17.5261198555612
5.4,-17.5306634945166
5.5,-17.1163512998784
5.6,-16.3937117705269
5.7,-15.5114922532451
5.8,-14.5890264445548
5.9,-13.6994001756851
6,-12.8800642031461
6.1,-12.146915133917
6.2,-11.5042058681738
6.3,-10.9503673751581
6.4,-10.4812568386829
6.5,-10.0919629378024
6.6,-9.77778921932643
6.7,-9.53474626256827
6.8,-9.35976624654866
6.9,-9.25079114410067
7,-9.20681207246239
7.1,-9.22786339554886
7.2,-9.31493254092582
7.3,-9.46973786500086
7.4,-9.694333054581
7.5,-9.99050321081587
7.6,-10.3589260089344
7.7,-10.7980946122066
7.8,-11.3030595644013
7.9,-11.8641703870289
8,-12.4661888497161
8.1,-13.1083562587734
8.2,-13.7456730019454
8.3,-14.3560067003015
8.4,-14.9143114160435
8.5,-15.3868491377461
8.6,-15.7322093676902
8.7,-15.9124466629594
8.8,-15.9102615192866
8.9,-15.7394303339168
9,-15.4388406271121
9.1,-15.0554893177678
9.2,-14.6295614191513
9.3,-14.1882737663123
9.4,-13.7467542360861
9.5,-13.3117819925273
9.6,-12.8855970385914
9.7,-12.4687174597809
9.8,-12.0616536262107
9.9,-11.6657468848215
10,-11.2834176436503
10.1,-10.9180719240573
10.2,-10.5738571524459
10.3,-10.2553964331085
10.4,-9.96757038166974
10.5,-9.71536046334075
10.6,-9.50372434843042
10.7,-9.33745277396928
10.8,-9.2209713522082
10.9,-9.15810444972393
11,-9.1518913194591
11.1,-9.20458498492745
11.2,-9.31792656032728
11.3,-9.49372804380673
11.4,-9.73484332471077
11.5,-10.0462979538263
11.6,-10.4354873439122
11.7,-10.9107759417932
11.8,-11.4779557912983
11.9,-12.1325744412647
12,-12.8453385741039
12.1,-13.5400775464352
12.2,-14.0770393881666
12.3,-14.2825752203822
12.4,-14.0550548610868
12.5,-13.4537224255554
12.6,-12.6453326951776
12.7,-11.7871362208653
12.8,-10.974582353445
12.9,-10.2497655685548
13,-9.62389896739174
13.1,-9.09381476439678
13.2,-8.65098023435555
13.3,-8.28572999473253
13.4,-7.98898421097975
13.5,-7.75277348381245
13.6,-7.57024964742257
13.7,-7.43551049026856
13.8,-7.34338886636341
13.9,-7.28927086723939
14,-7.26897029626673
14.1,-7.2787755272122
14.2,-7.31459576459479
14.3,-7.37404093742346
14.4,-7.45408383814737
14.5,-7.55263223209336
14.6,-7.66826538226928
14.7,-7.80032762096692
14.8,-7.94887527282443
14.9,-8.11430968470385
15,-8.32561836757833
