"Freq [GHz]","cang_rad(S(2,2)) [rad]"
1,-1.30032439653099
1.1,-1.43156352474397
1.2,-1.58519198652835
1.3,-1.76682682220621
1.4,-1.97454824585871
1.5,-2.20347074507108
1.6,-2.45125816719722
1.7,-2.72060647475126
1.8,-3.01983249034176
1.9,-3.36153371895921
2,-3.75404031782585
2.1,-4.18156176294616
2.2,-4.5965257478845
2.3,-4.95482659617781
2.4,-5.24592324933435
2.5,-5.48102853387908
2.6,-5.67497755820197
2.7,-5.83957243438303
2.8,-5.98310106676269
2.9,-6.11128177125652
3,-6.22816099747685
3.1,-6.33671766686471
3.2,-6.43921680873178
3.3,-6.5374048029113
3.4,-6.63262703440054
3.5,-6.72592451734774
3.6,-6.8181569635559
3.7,-6.91012811038106
3.8,-7.00262788573632
3.9,-7.09644262627592
4,-7.19238865853053
4.1,-7.29128165260612
4.2,-7.3935734279409
4.3,-7.49816294241041
4.4,-7.60206068299296
4.5,-7.70735173276972
4.6,-7.82292894127454
4.7,-7.95384637054865
4.8,-8.10240100757512
4.9,-8.27210064382343
5,-8.46810745016023
5.1,-8.69600656663891
5.2,-8.95872379834107
5.3,-9.25133378032411
5.4,-9.55747492393685
5.5,-9.85435035683873
5.6,-10.1243986545375
5.7,-10.3614016908253
5.8,-10.567557251354
5.9,-10.7482707619601
6,-10.9090203716312
6.1,-11.0542701042253
6.2,-11.1873702612193
6.3,-11.3107713964415
6.4,-11.4262724508067
6.5,-11.5352159416968
6.6,-11.6386190296093
6.7,-11.7372554314382
6.8,-11.8317063289908
6.9,-11.9223908730143
7,-12.0095788042681
7.1,-12.093385072103
7.2,-12.173748255345
7.3,-12.2503973857776
7.4,-12.3228136506837
7.5,-12.3901950453417
7.6,-12.451434666378
7.7,-12.505127652613
7.8,-12.5496270489096
7.9,-12.5831715654443
8,-12.6041000045992
8.1,-12.612898305888
8.2,-12.605388556868
8.3,-12.5819805778676
8.4,-12.5427566831211
8.5,-12.4881814383922
8.6,-12.4203269099415
8.7,-12.3438428346812
8.8,-12.2655917329555
8.9,-12.1926792763561
9,-12.1301819886111
9.1,-12.0801833655059
9.2,-12.0423390009011
9.3,-12.0150593525292
9.4,-11.996496206356
9.5,-11.9850812623161
9.6,-11.9797040221124
9.7,-11.9796865139021
9.8,-11.9846735714548
9.9,-11.9945069180671
10,-12.009116142984
10.1,-12.0284389202249
10.2,-12.0523710109496
10.3,-12.0807400327292
10.4,-12.1132940182974
10.5,-12.1496958429334
10.6,-12.1895174280959
10.7,-12.2322327282068
10.8,-12.277214410238
10.9,-12.3237428354648
11,-12.3710336423196
11.1,-12.4182801135522
11.2,-12.4646903444744
11.3,-12.5094808181311
11.4,-12.5517913683164
11.5,-12.5905390880369
11.6,-12.6241985705124
11.7,-12.6504219528316
11.8,-12.6655341551669
11.9,-12.6640612477387
12,-12.6386891923976
12.1,-12.5817073866154
12.2,-12.4896915231836
12.3,-12.3711504402081
12.4,-12.2489803684269
12.5,-12.1486091932447
12.6,-12.0830759137646
12.7,-12.0516408024211
12.8,-12.0471369433309
12.9,-12.0617538089067
13,-12.0892150740178
13.1,-12.1250257895941
13.2,-12.1661127232268
13.3,-12.2104004767889
13.4,-12.2564752811149
13.5,-12.3033513501588
13.6,-12.3503188104439
13.7,-12.3968489786524
13.8,-12.4425377076923
13.9,-12.487073106627
14,-12.5302183394147
14.1,-12.5718044190525
14.2,-12.611716145211
14.3,-12.649912732064
14.4,-12.6863931874572
14.5,-12.7212025431209
14.6,-12.7544067850267
14.7,-12.7860608244306
14.8,-12.8161639719404
14.9,-12.8446046494208
15,-12.8720173402719
