"Freq [GHz]","mag(S(2,2)) []"
1.5,0.664972870805464
1.6,1.00021442828392
1.7,1.44252384633863
1.8,1.22675844599652
1.9,0.856504589645701
2,0.638499916574547
2.1,0.511785599224065
2.2,0.431475115835189
2.3,0.376249867199598
2.4,0.335531701123013
2.5,0.303623447154656
2.6,0.277247050839827
2.7,0.254442273590454
2.8,0.234032111071925
2.9,0.215337958663917
3,0.198009307286827
3.1,0.181909232910511
3.2,0.167032832693857
3.3,0.15345193381093
3.4,0.141283110017538
3.5,0.130673120344228
3.6,0.121792881117148
3.7,0.114830372669654
3.8,0.109972849794801
3.9,0.107371477831498
4,0.107092273556192
4.1,0.109072834601043
4.2,0.113108991222347
4.3,0.11887753782718
4.4,0.125971584558953
4.5,0.133904627354212
4.6,0.142037373342641
4.7,0.149415250055947
4.8,0.154642732527086
4.9,0.156212276651065
5,0.152131280006425
5.1,0.140797270910455
5.2,0.122318924238018
5.3,0.0985596783577177
5.4,0.0743739133957378
5.5,0.0607968388318846
5.6,0.0704693195598372
5.7,0.097272201691297
5.8,0.129488074456792
5.9,0.161687076047522
6,0.191761905250443
6.1,0.218931002650992
6.2,0.242909673610608
6.3,0.263477296954253
6.4,0.280300526590642
6.5,0.292981860316868
6.6,0.301242142895517
6.7,0.305089537374825
6.8,0.304852790937
6.9,0.301061419116399
7,0.294262521381727
7.1,0.284873961484796
7.2,0.273109797837532
7.3,0.258994042542999
7.4,0.242523461498296
7.5,0.224094482071381
7.6,0.205281020913759
7.7,0.189277791257053
7.8,0.178798655876332
7.9,0.175160700079766
8,0.177306430491416
8.1,0.182270086319003
8.2,0.187617314585194
8.3,0.193799070410206
8.4,0.200827889553751
8.5,0.205474030450135
8.6,0.206020924569313
8.7,0.202113924573843
8.8,0.194904384053088
8.9,0.186109687335492
9,0.177168966136396
9.1,0.169111287413301
9.2,0.162877567222215
9.3,0.159592561618437
9.4,0.160241119992967
9.5,0.164624335294715
9.6,0.170832979176733
9.7,0.176465123357586
9.8,0.18018519317243
9.9,0.181909398493315
10,0.182143552122472
10.1,0.181463807917929
10.2,0.180333366735437
10.3,0.179087777405711
10.4,0.177962089070659
10.5,0.177115257775214
10.6,0.176633324787627
10.7,0.176493385024317
10.8,0.1757368408893
10.9,0.175807045045379
11,0.174654287600264
11.1,0.173106171275643
11.2,0.172056955580427
11.3,0.172437256628914
11.4,0.174982373496381
11.5,0.179936602405203
11.6,0.187473674694116
11.7,0.195555315197857
11.8,0.206041559280075
11.9,0.217541928071541
12,0.229682995250507
12.1,0.242047364589244
12.2,0.254236406731893
12.3,0.265920278564161
12.4,0.276860673743845
12.5,0.286917676064882
12.6,0.296040008322119
12.7,0.304244740591041
12.8,0.311593424656648
12.9,0.318170153810168
13,0.324066146188428
13.1,0.329381866103608
13.2,0.334334329668167
13.3,0.345236804648347
13.4,0.339422227686835
13.5,0.341798117094385
13.6,0.343377609187836
13.7,0.343484845307045
13.8,0.342034381220012
13.9,0.338895204103315
14,0.334043574588771
14.1,0.327732941367201
14.2,0.320531233261475
14.3,0.313085448863398
14.4,0.305640498994801
14.5,0.297726946656114
14.6,0.28840640259262
14.7,0.276851289213719
14.8,0.262737962974958
14.9,0.246275091612621
15,0.228022018094588
