"Freq [GHz]","dB(S(2,2)) []"
1,-1.57540661287493
1.1,-1.9995947093205
1.2,-2.43463417270766
1.3,-2.98814693107646
1.4,-3.76315463802603
1.5,-4.81292554424895
1.6,-6.14304319628964
1.7,-7.72551763258972
1.8,-9.49110860866929
1.9,-11.2915805742775
2,-12.8484429161813
2.1,-13.7970417424641
2.2,-13.960683649979
2.3,-13.5381094061798
2.4,-12.8632494586389
2.5,-12.1595876350207
2.6,-11.524898087469
2.7,-10.9890401192299
2.8,-10.5541168485439
2.9,-10.2130559202416
3,-9.95686258723466
3.1,-9.77698969004369
3.2,-9.66591596828432
3.3,-9.61729828940357
3.4,-9.62607244240158
3.5,-9.68835059482053
3.6,-9.80114667952265
3.7,-9.96247302537393
3.8,-10.1715027524636
3.9,-10.4280227838234
4,-10.7313742773987
4.1,-11.0788327966212
4.2,-11.4634524966004
4.3,-11.8773874304392
4.4,-12.3408805718071
4.5,-12.9164513450463
4.6,-13.6174097878097
4.7,-14.4073649656926
4.8,-15.2628904691167
4.9,-16.1673155737395
5,-17.0892021081188
5.1,-17.9643126256177
5.2,-18.6828387943888
5.3,-19.101526468595
5.4,-19.1060701075501
5.5,-18.691757912911
5.6,-17.9691183835578
5.7,-17.0868988662728
5.8,-16.1644330575781
5.9,-15.2748067887035
6,-14.4554708161604
6.1,-13.7223217469286
6.2,-13.079612481185
6.3,-12.5257739881704
6.4,-12.0566634516976
6.5,-11.6673695508195
6.6,-11.3531958323451
6.7,-11.1101528755872
6.8,-10.9351728595664
6.9,-10.8261977571161
7,-10.7822186854752
7.1,-10.8032700085591
7.2,-10.8903391539345
7.3,-11.045144478009
7.4,-11.2697396675895
7.5,-11.5659098238253
7.6,-11.9343326219446
7.7,-12.3735012252168
7.8,-12.8784661774108
7.9,-13.4395770000376
8,-14.0415954627259
8.1,-14.6837628717717
8.2,-15.3210796149395
8.3,-15.9314133133006
8.4,-16.4897180290509
8.5,-16.9622557507584
8.6,-17.3076159807017
8.7,-17.4878532759676
8.8,-17.4856681322942
8.9,-17.314836946928
9,-17.0142472401284
9.1,-16.6308959307875
9.2,-16.2049680321712
9.3,-15.7636803793297
9.4,-15.3221608491
9.5,-14.8871886055382
9.6,-14.4610036516007
9.7,-14.0441240727903
9.8,-13.6370602392213
9.9,-13.2411534978339
10,-12.8588242566643
10.1,-12.4934785370724
10.2,-12.149263765461
10.3,-11.8308030461228
10.4,-11.5429769946826
10.5,-11.2907670763519
10.6,-11.0791309614403
10.7,-10.9128593869787
10.8,-10.7963779652179
10.9,-10.7335110627345
11,-10.7272979324707
11.1,-10.7799915979397
11.2,-10.8933331733394
11.3,-11.0691346568179
11.4,-11.3102499377204
11.5,-11.6217045668345
11.6,-12.0108939569199
11.7,-12.4861825548013
11.8,-13.0533624043071
11.9,-13.7079810542735
12,-14.4207451871115
12.1,-15.1154841594404
12.2,-15.6524460011692
12.3,-15.8579818333827
12.4,-15.6304614740852
12.5,-15.0291290385513
12.6,-14.2207393081709
12.7,-13.3625428338572
12.8,-12.5499889664373
12.9,-11.8251721815494
13,-11.19930558039
13.1,-10.6692213773994
13.2,-10.2263868473625
13.3,-9.86113660774318
13.4,-9.56439082399313
13.5,-9.32818009682741
13.6,-9.14565626043791
13.7,-9.01091710328325
13.8,-8.91879547937666
13.9,-8.8646774802506
14,-8.84437690927539
14.1,-8.85418214021414
14.2,-8.89000237760489
14.3,-8.94944755043172
14.4,-9.02949045115612
14.5,-9.12803884510449
14.6,-9.24367199528527
14.7,-9.375734233992
14.8,-9.52428188586834
14.9,-9.68971629780548
15,-9.90102498059315
